,LR_reg,LR_reg_trvl,XGB_opt,XGB_opt_trvl,SVC,SVC_trvl,XGB_tempb_peaks_opt,XGB_tempb_peaks_opt_trvl,XGB_tempb_peaks_slope_opt,XGB_tempb_peaks_slope_opt_trvl,XGB_tempb_peaks_slope_topi_opt,XGB_tempb_peaks_slope_topi_opt_trvl,XGB,XGB_trvl,XGB_opt_area,XGB_tempb_peaks_slope_area_opt_trvla,XGB_opt_area_trvl,XGB_opt_area_filtered,XGB_opt_area_filtered_trvl,XGB_tempb_spectra_opt,XGB_tempb_spectra_opt_trvl,XGB_tempb_stats_opt,XGB_tempb_stats_opt_trvl,XGB_tempb_peaks_slope_stats,XGB_tempb_peaks_slope_stats_trvl,RFC_fts_maxrelabund_tempion,RFC_fts_maxrelabund_tempion_trvl,XGBo_fts_tempD_ion
basalt,0.2767826059088304,0.2615261042107989,0.19665137401195665,0.16030390276618628,0.25077004668024483,0.2341854283865735,0.19504383100727152,0.1498281400392832,0.19520568177743663,0.14909855284917112,0.19587480511132652,0.14837289364431888,0.22565078102787242,0.17535642713573033,0.1858577117021965,0.15038263729381854,0.1622114861186489,0.20008396178605553,0.15666816526475671,0.19059170584404792,0.1583013395252921,0.2041581477688435,0.16284625452271537,0.20787768144644234,0.16243330709455261,0.20996602214375307,0.185369700430626,0.1937698893070483
carbonate,0.26125450039338877,0.22292052739226756,0.12102018407547,0.09299784144611556,0.1972031094385666,0.1795945838246021,0.12725561255970502,0.09301901140051114,0.12031231878582822,0.09245368205162423,0.11631532745545028,0.08935366025632574,0.13225618815649615,0.09042970225928271,0.12794140325401443,0.09499585703267324,0.09905525547656548,0.14400262503768219,0.11669601380893395,0.12573795113879155,0.09753238448700083,0.1455178930536113,0.09291970795882541,0.13739010085086706,0.10003260808925207,0.16398751670584213,0.14223604547330995,0.1486484895463431
chloride,0.28429799603250216,0.25846765369554275,0.2043376334408594,0.17099937928281922,0.2807269597768136,0.29258849745421833,0.20048671679044144,0.16665983013362626,0.1963325934969151,0.16391485702179903,0.19634522138754695,0.1641920493095718,0.22720553328986837,0.18622434858380826,0.20697566164877373,0.1659094011240705,0.16938881409577453,0.2341266328663087,0.1964089522141177,0.20230934622104554,0.1662865609148681,0.21817935383459694,0.19048193656326856,0.22041814228083362,0.18660338013357347,0.2424351408874211,0.18949864853269877,0.19791368915613106
iron_oxide,0.38246993360871934,0.37216113777026905,0.22611550844240597,0.2110446946926557,0.3536190233506552,0.3608961604442589,0.24008311371277063,0.20769608078810645,0.24169911216776438,0.2109987667602365,0.23932652730115453,0.2105470783364448,0.254578396456081,0.23514644413808328,0.2446655951976716,0.2041973853217045,0.21597202797016476,0.24039816759910154,0.2203805359360071,0.24248385070333162,0.20821211507225845,0.22934359606846075,0.21848379672240964,0.2483086771571103,0.21655962616639393,0.28926605897889435,0.2718308107895282,0.23143090668329305
oxalate,0.004059239489521142,0.004914672949143357,0.029272685140647313,0.016176140634807434,0.007036387269171489,0.00412564026137115,0.012315083744781958,0.014033538995205336,0.012315083744781958,0.014033538995205336,0.012315083744781958,0.014033538995205336,0.027906252811262605,0.017460904940602717,0.038971304977226354,0.014033538995205336,0.022625715924459965,0.03742311856076636,0.021259981404598977,0.012635378048959773,0.016208049944925782,0.026350463268457736,0.022028452361231944,0.013093130426774074,0.014527691531154371,0.039511020051460954,0.029638190681464626,0.017884130806374125
oxychlorine,0.29915009827872885,0.25263015825669405,0.19420209851804687,0.15975673521358977,0.252333602407807,0.23319651261625035,0.164854814627361,0.148409597606228,0.16530498244485917,0.14532247398525805,0.16100005371269815,0.14633956037110943,0.20850854126821824,0.16719442244347366,0.2138142749899879,0.14792109491711591,0.15165467534821125,0.20688072621889156,0.16433460029096783,0.1682444882529693,0.15815050778270706,0.20464571490669176,0.1601052413049763,0.17750233329788548,0.15761645987569955,0.2367934981282966,0.20600902312065675,0.18436878692568484
phyllosilicate,0.4074758334090677,0.4112433512412318,0.25951556825253963,0.2392929120695717,0.36454853154904,0.3432619537573397,0.2399570535617075,0.22877625417536848,0.23245570364568774,0.22222365475676015,0.2361309095439051,0.22254730416083085,0.29730870486992084,0.2574618023465163,0.27848557620799663,0.2252796669705329,0.24709419375870514,0.28125205760019323,0.2578109369592133,0.23600526988812556,0.24340647742486085,0.26045803515127275,0.23699535278234624,0.24939465222945137,0.23328683429143995,0.32746001916058415,0.3141430600393957,0.2420590401785155
silicate,0.3516847439265464,0.34987021450556754,0.23317893970805786,0.18674152896437207,0.29539861149444935,0.27091128700773554,0.23931971397608573,0.19691387258807694,0.2323883510399649,0.19551551843464737,0.22990574306708528,0.19505924932561924,0.2575651139000811,0.20515629972326366,0.24366525098263514,0.19611972573151465,0.20099827398083883,0.2513079165664845,0.1979586719591318,0.23696801150142655,0.19205217866847285,0.24072122916950695,0.21265648389611372,0.23267832839997107,0.206459138387528,0.267858550117763,0.3015315783171143,0.22756305964949713
sulfate,0.3447188328713945,0.3228680540360715,0.20317408057798922,0.17355651791774612,0.29206043742498367,0.2714285448541561,0.21280561231900258,0.17159940715849445,0.21482440203037304,0.16645654836764276,0.2134879802521291,0.16371391431687263,0.2245971262183839,0.18776378520666673,0.20675288525652635,0.16984369343694294,0.18721813352418798,0.20709716189434432,0.1854586401124073,0.22524060744307764,0.1731007783928667,0.19966473579750693,0.16538396296362437,0.2010253260744775,0.16520661728445057,0.23972744996942735,0.2154557220049101,0.21972548834632516
sulfide,0.14713584783404265,0.14532854619106556,0.07880694186687044,0.08166643602891402,0.11634952945748449,0.11117738256574108,0.07529303845939923,0.07329880544762327,0.07531181614802744,0.0734885284485847,0.07493350768998107,0.07384643618882182,0.07831794841140914,0.08088348573694427,0.07890276062590225,0.07292458723543724,0.07822736212668946,0.08492979328805637,0.07921493043724907,0.07430298441796876,0.07881859170146491,0.08159345530976485,0.0764963598412395,0.07353468805167332,0.0757475704442909,0.08323675807392919,0.07745061098244722,0.0776216277055671
